,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
3126,SPFB.RTS-12.18,1,13/09/18,10:33,106610.0,106620.0,106610.0,106620.0,2
3127,SPFB.RTS-12.18,1,13/09/18,10:34,106620.0,106640.0,106620.0,106640.0,2
3128,SPFB.RTS-12.18,1,13/09/18,10:35,106640.0,106680.0,106640.0,106680.0,5
3129,SPFB.RTS-12.18,1,13/09/18,10:36,106690.0,106720.0,106680.0,106700.0,20
3130,SPFB.RTS-12.18,1,13/09/18,10:37,106740.0,106750.0,106720.0,106750.0,23
3131,SPFB.RTS-12.18,1,13/09/18,10:39,106750.0,106750.0,106720.0,106720.0,12
3132,SPFB.RTS-12.18,1,13/09/18,10:40,106700.0,106700.0,106700.0,106700.0,3
3133,SPFB.RTS-12.18,1,13/09/18,10:41,106720.0,106720.0,106720.0,106720.0,8
3134,SPFB.RTS-12.18,1,13/09/18,10:42,106720.0,106720.0,106710.0,106710.0,5
3135,SPFB.RTS-12.18,1,13/09/18,10:43,106710.0,106710.0,106710.0,106710.0,2
3136,SPFB.RTS-12.18,1,13/09/18,10:45,106740.0,106760.0,106740.0,106760.0,5
3137,SPFB.RTS-12.18,1,13/09/18,10:47,106760.0,106770.0,106740.0,106740.0,61
3138,SPFB.RTS-12.18,1,13/09/18,10:48,106790.0,106860.0,106790.0,106860.0,23
3139,SPFB.RTS-12.18,1,13/09/18,10:49,106890.0,106900.0,106860.0,106870.0,28
3140,SPFB.RTS-12.18,1,13/09/18,10:50,106850.0,106920.0,106840.0,106920.0,51
3141,SPFB.RTS-12.18,1,13/09/18,10:51,106930.0,106950.0,106930.0,106950.0,13
3142,SPFB.RTS-12.18,1,13/09/18,10:52,106930.0,106930.0,106930.0,106930.0,2
3143,SPFB.RTS-12.18,1,13/09/18,10:53,106880.0,106880.0,106880.0,106880.0,3
3144,SPFB.RTS-12.18,1,13/09/18,10:54,106900.0,106920.0,106900.0,106920.0,4
3145,SPFB.RTS-12.18,1,13/09/18,10:55,106950.0,107050.0,106950.0,106950.0,89
3146,SPFB.RTS-12.18,1,13/09/18,10:56,107000.0,107000.0,106950.0,106950.0,13
3147,SPFB.RTS-12.18,1,13/09/18,10:57,106950.0,106980.0,106950.0,106970.0,9
3148,SPFB.RTS-12.18,1,13/09/18,10:58,106930.0,106930.0,106930.0,106930.0,47
3149,SPFB.RTS-12.18,1,13/09/18,10:59,106940.0,106990.0,106940.0,106970.0,27
3150,SPFB.RTS-12.18,1,13/09/18,11:00,106990.0,106990.0,106970.0,106970.0,10
3151,SPFB.RTS-12.18,1,13/09/18,11:01,106970.0,107010.0,106940.0,106970.0,86
3152,SPFB.RTS-12.18,1,13/09/18,11:02,106940.0,106990.0,106940.0,106990.0,15
3153,SPFB.RTS-12.18,1,13/09/18,11:03,106990.0,106990.0,106950.0,106950.0,9
3154,SPFB.RTS-12.18,1,13/09/18,11:05,106960.0,106980.0,106960.0,106970.0,9
3155,SPFB.RTS-12.18,1,13/09/18,11:06,106970.0,107030.0,106970.0,106980.0,77
3156,SPFB.RTS-12.18,1,13/09/18,11:07,106990.0,107050.0,106950.0,106950.0,66
3157,SPFB.RTS-12.18,1,13/09/18,11:08,106950.0,106950.0,106920.0,106920.0,57
3158,SPFB.RTS-12.18,1,13/09/18,11:09,106920.0,106920.0,106880.0,106900.0,81
3159,SPFB.RTS-12.18,1,13/09/18,11:10,106880.0,106880.0,106880.0,106880.0,20
3160,SPFB.RTS-12.18,1,13/09/18,11:12,106870.0,106870.0,106870.0,106870.0,2
3161,SPFB.RTS-12.18,1,13/09/18,11:13,106910.0,106910.0,106850.0,106850.0,73
3162,SPFB.RTS-12.18,1,13/09/18,11:14,106870.0,106920.0,106870.0,106920.0,6
3163,SPFB.RTS-12.18,1,13/09/18,11:16,106950.0,106950.0,106950.0,106950.0,50
